uuid,date,Energia
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T17:30:00.000Z,1.304
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T17:45:00.000Z,1.305
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T18:00:00.000Z,1.305
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T18:15:00.000Z,1.306
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T18:30:00.000Z,1.307
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T18:45:00.000Z,1.307
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T19:00:00.000Z,1.308
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T19:15:00.000Z,1.309
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T19:30:00.000Z,1.309
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T19:45:00.000Z,1.31
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T20:00:00.000Z,1.31
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T20:15:00.000Z,1.311
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T20:30:00.000Z,1.312
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T20:45:00.000Z,1.313
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T21:00:00.000Z,1.313
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T21:15:00.000Z,1.314
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T21:30:00.000Z,1.315
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T21:45:00.000Z,1.315
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T22:00:00.000Z,1.316
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T22:15:00.000Z,1.316
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T22:30:00.000Z,1.317
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T22:45:00.000Z,1.318
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T23:00:00.000Z,1.318
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T23:15:00.000Z,1.319
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T23:30:00.000Z,1.319
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T23:45:00.000Z,1.32
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T00:00:00.000Z,1.331
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T00:15:00.000Z,1.746
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T00:30:00.000Z,1.895
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T00:45:00.000Z,2.132
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T01:00:00.000Z,2.498
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T01:15:00.000Z,2.519
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T01:30:00.000Z,2.52
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T01:45:00.000Z,2.521
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T02:00:00.000Z,2.522
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T02:15:00.000Z,2.523
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T02:30:00.000Z,2.523
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T02:45:00.000Z,2.524
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T03:00:00.000Z,2.525
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T03:15:00.000Z,2.525
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T03:30:00.000Z,2.526
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T03:45:00.000Z,2.526
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T04:00:00.000Z,2.527
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T04:15:00.000Z,2.528
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T04:30:00.000Z,2.529
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T04:45:00.000Z,2.529
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T05:00:00.000Z,2.53
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T05:15:00.000Z,2.531
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T05:45:00.000Z,2.532
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T06:00:00.000Z,2.532
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T06:15:00.000Z,2.533
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T06:30:00.000Z,2.534
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T06:45:00.000Z,2.534
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T07:00:00.000Z,2.535
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T07:15:00.000Z,2.536
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T07:30:00.000Z,2.536
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T07:45:00.000Z,2.537
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T08:15:00.000Z,2.538
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T08:30:00.000Z,2.539
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T08:45:00.000Z,2.539
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T09:00:00.000Z,2.54
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T09:15:00.000Z,2.54
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T09:30:00.000Z,2.541
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T09:45:00.000Z,2.542
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T10:00:00.000Z,2.542
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T10:15:00.000Z,2.543
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T10:30:00.000Z,2.544
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T10:45:00.000Z,2.545
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T11:00:00.000Z,2.545
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T11:15:00.000Z,2.546
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T11:30:00.000Z,2.547
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T11:45:00.000Z,2.547
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T12:00:00.000Z,2.548
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T12:15:00.000Z,2.548
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T12:30:00.000Z,2.549
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T12:45:00.000Z,2.55
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T13:00:00.000Z,2.55
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T13:15:00.000Z,2.551
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T13:30:00.000Z,2.551
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T13:45:00.000Z,2.552
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T14:00:00.000Z,2.553
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T14:15:00.000Z,2.553
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T14:30:00.000Z,2.554
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T14:45:00.000Z,2.555
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T15:00:00.000Z,2.555
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T15:15:00.000Z,2.556
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T15:30:00.000Z,2.556
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T15:45:00.000Z,2.557
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T16:00:00.000Z,2.558
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T16:15:00.000Z,2.558
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T16:30:00.000Z,2.559
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T16:45:00.000Z,2.56
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T17:00:00.000Z,2.56
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T17:15:00.000Z,2.561
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T17:30:00.000Z,2.562
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T17:45:00.000Z,2.562
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T18:00:00.000Z,2.563
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T18:15:00.000Z,2.564
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T18:30:00.000Z,2.564
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T18:45:00.000Z,2.565
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T19:00:00.000Z,2.566
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T19:15:00.000Z,2.566
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T19:30:00.000Z,2.567
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T19:45:00.000Z,2.567
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T20:00:00.000Z,2.568
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T20:15:00.000Z,2.569
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T20:30:00.000Z,2.569
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T20:45:00.000Z,2.57
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T21:00:00.000Z,2.571
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T21:15:00.000Z,2.571
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T21:30:00.000Z,2.572
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T21:45:00.000Z,2.572
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-14T22:00:00.000Z,2.573
